,page,arrêt,date,juridiction
13,11," — Considérant, au fond , qu'en matière civile, la femme n'est contraignable par corps que pour stellionat ; — Infirme , etc. ", 14 août 1829.,C. r. Paris.
14,11," —Attendu, sur la demande en nullité de la clause en autorisation de vendre les biens hypothéqués , insérée dans l'acte du 23 juillet 1823 , qu'il est essentiel de remarquer que , par cette clause , le créancier ne reçut pas le droit de s'approprier les biens hypothéqués, ni do les vendre ou faire vendre à volonté, à défaut de paiement du prix dans les délais fixés ; que , seulement, il reçut, dans ce cas , le pouvoir de faire procéder à la vente de ces immeubles à des enchères ouvertes devant un notaire, après un commandement et des affiches préalables, le débiteur présent, ou dûment appelé; que ce pouvoir, stipulé en faveur de celui qui le reçoit comme condition d'un contrat synallagmatique, n'est pas soumis aux règles de révocabilité admises pour le mandat ordinaire, qui n'a pour objet, ainsi que cela résulte de l'art. 1984, Code civil, que l'intérêt du mandant ; qu'aucun texte de loi ne prohibe , en termes exprès, les clauses de cette nature ; qu'on cherche, seulement, a induire cette prohibition des art. 2078 et 2088, Code civil, et des art. 746 et 747, Code de procédure; que la disposition de l'art. 2078, Code civil, portant que toute clause qui autoriserait le créancier à s'approprier le gage, ou à en disposer sans les formalités que ce premier alinéa prescrit, est nulle, ne s'applique qu'au cas de nantissement d'une chose mobilière et ne s'occupe nulle. Lois et Décisions diverses. 
ment des clauses stipulées pour éviter les poursuites qu'entraineraient les expropriations forcées; que l'art. 2088 dispose, sans doute, que le créancier ne devient point propriétaire de l'immeuble par le seul défaut de paiement au terme convenu; que toute clause contraire est nulle , et qu'en ce cas le créancier peut poursuivre l'expropriation de son débiteur par les voies légales; mais il est à remarquer que cet article ne s'occupe que de l'anticerèse ; qu'à la différence de l'art. 2078 précité , il ne prononce la nullité que relativement à la clause qui permet au creancier de s'approprier l'immeuble ; mais que , relativement au mode de la vente , cet article est conçu en termes facultatifs; et l'on ne peut par: conclure de ce qu' il dit, que le créancier peut poursuivre l'expropriation , que les intéressés doivent toujours suivre cette voie rigoureuse, et ne puissent pas lui substituer un autre mode de vente plus conforme à leurs intérêts ; que l'art. 146, Code de procédure civile, qui a eu uniquement pour objet, d'interdire ce qu'on appelait autrefois les décrets volontaires , s'oppose seulement à ce que les ventes volontaire soient finies à des enchères ouvertes devant les tribunaux ; qu'enfin, si l'art. 747 prescrit , pour des ventes faites aux enchères devant un notaire , des formalités plus nombreuses que celles insérées dans la clause dont il s'agit , il faut observer que cet article ne dispose que pour les cas où les immeubles étant saisis réellement , les intéressés veulent de concert rendre la procédure plus sommaire , sans , toutefois , renoncer aux poursuites juridiques existantes; car si tous les intéressés, étant majeurs et maîtres de leurs droits , voulaient renoncer à ces poursuites, il n'est pas douteux qu'il ne leur fût loisible, non seulement de diminuer le nombre des formalités prescrites par cet article, mais encore de s'affranchir de toutes, en observant , seulement , les règles ordinaires qui régissent les ventes volontaires ; .que , dès lors, il est certain qu'il n'existe point d' identité , ni même d'analogie entre les cas prévus par les articles précités et celui dont il s'agit dans l'espèce : que , d'ailleurs, si l'on pouvait se livrer à une interprétation extensive , ce ne pourrait être qu'autant que des motifs puissans d'équité le réclameraient , et qu'il s'agirait de proscrire des conditions exorbitantes , extorquées à un débiteur malheureux par un créancier avide; mais qu'il en est autrement des conditions insérées dans la clause dont il s'agit ; qu'elle était autorisée par les lois romaines qui prohibent expressément le pacte commissoire, avec, lequel celle stipulation ne peut être confondue (1); qu'il est certain , qu'on observant les précautions qui doivent précéder et accompagner la vente , le mode de procéder que celle clause autorise offre au débiteur toutes les garanties désirables; que, même, à raison des frais énormes des saisies immobilières, ce mode est le seul praticable, quand il s'agit d'immeubles d'une valeur modique; qu'enfin, il convient de ne pas enlever aux débiteurs un moyen qui, en même temps qu'il protège suffisamment leur propriété, les préserve des expropriations judiciaires , qui entraînent, souvent, la perte totale de leur fortune , et toujours celle de leur crédit; qu'ainsi l'on doit reconnaître que la clause dont il s'agit est non seulement licite, mais encore favorable ; et, dès lors , il faut s'en tenir à la grande règle, qui veut nue les conventions légalement formées soient des lois pour les parties qui les oui faites : — Dit qu' il a été bien jugé , etc. 
", 27 janvier 1827.,C. r. Pau. 
15,12,"—Attendu le principe consacré par l'art. 1356 Cod. civ., qu'en matière civile l'aveu est indivisible; — Attendu que la dame Bontems n'avait, ou ne rapportait aucun titre qui constatât un engagement quelconque de la part des sieurs Papon; que, dès lors, la dame Bontems a dû admettre en entier les aveux faits par les Papon , ou les rejeter en entier ;—Attendu, par conséquent, que tout ce qui peut être dû, et la nature de ce qui peut être dû par le» sieurs Papou, se réduit à la déclaration qu'ils en ont faite; —At(1) —At(1) leg. 8, ff. de pignoratitia actione ; leg. 9 C , de distractione pignorum, et les lois 1, 3 et î, de jure dominii impetrando. 
Lois et Décisions diverses. 
15 
tendu d'ailleurs, que toutes les circonstances de la cause s'élèvent à l'appui de la sincérité de l'aveu fait par les Papou ; 
Que tel est le résultat de la déclaration faite par la dame Bontems, qu'il n'y avait point eu de fixation d'époque d'exigibilité des sommes par elle délivrées aux Papon : ce qui n'est point ordinaire lorsqu'il s'agit de sommes délivrées à titre de prêt, et qui sont remboursables ; — Que tel est encore le résultat, soit de l'acte régulier, portant constitution de rente viagère, au profil de la dame Bontems, de la part du sieur Bertrand , notaire à Cannai ; soit encore du projet d'acte rédigé par le sieur Bertrand , et écrit de sa main , lequel acte contenait les engagemens qui devaient être souscrits par les Papon pour la rente viagère ;—Attendu, dès lors, que ce n'était nullement le cas de déférer à la dame Bontems un serment, qui seul n'aurait pu lui faire un litre, ne pouvant y en avoir d'autre entre les parties que celui qui résultait de l'aveu des Papon. lequel devait exister intégralement ; — Dit qu'il a été mal jugée de toute la dame Bontems de sa demande; ordonne que les Papon demeureront débiteurs seulement des deux rentes viagères par eux reconnues , etc. 
", 25 juillet 1827., C. r. Riom. 
16,13,"-—Attendu que la prescription consacrée par l'art. 189, Cod. comm., est une présomption juris et de jure , contre la quelle aucune présomption contraire ne peut être admise, et que le serment décisoire est la seule obligation imposée au débiteur par cet article ; — Met l'appellation et ce dont est appel au néant;... met Florence hors de cour sur la demande,... à la charge par lui d'affirmer avec serment qu'il a payé le billet dû à Frezet, etc. ", 15 décembre 1828. , C. r. Grenoble. 
17,13,"—Attendu qu'Aussenac est créancier de Garrigues père, et qu'à ce titre il a droit d'intervenir dans le partage de la succession de Jeanne Chap , dont ledit Garrigues est un des héritiers médiats; — Attendu qu'on ne peut se prévaloir de ce qu'il n'avait pas fait opposition antérieurement à une cession consentie par ledit Garrigues de tous ses droits à celle succession en faveur de la femme Jourde , sa fille , puisque antérieurement à cette cession une saisie immobilière avait été jetée sur les biens de celte succession, à la requête dudit Aussenac, au préjudice dudit Garrigues :...— Par ces motifs, démet les mariés Jourde de leur opposition envers l'arrêt faute de défendre , etc. ", 11 juillet 1829.,C. r. Toulouse.
19,15," — Considérant que les contrats des 17 novembre 1818, 17 février 1823 et 21 novembre; 1824, qui ont transmis à Baillon la propriété des fonds dont il s'agit, sont muets sur les enlèvemens de pierres déjà effectués par les ouvriers d' Otard ; que Baillon n'était point propriétaire des pierres au moment de leur extraction, et que ses vendeurs ne lui ont point cédé les actions en dommages-intérêts qu'ils pouvaient avoir à exercer contre l'intimé , à raison desdits enlèvemens; que les déclarations fournies à Baillon depuis l'appel sont conçues dans des tenues trop vagues pour qu'on puisse y trouver la preuve que les pierres extraites avant les acquisitions étaient comprises dans les ventes : qu'ainsi l'appelant ne peut exiger une indemnité que pour les enlèvemens postérieurs aux contrais dont, il a été parlé ; — Met l'appel au néant , etc. ", 15 mai 1829. , C. r. Bordeaux. 
20,15," — Attendu qu'aux termes de l'art. 845 , Code civil, l'héritier qui renonce peut cependant retenir le don à lui fait jusqu'à concurrence de la quote disponible ; que cet article est écrit, non seulement pour les héritiers ordinaires, mais encore pour les héritiers à réserve ; que la réserve est une quote de la succession qui appartient aux enfans, mais seulement à ceux qui, à cette qualité, joignent celle d'héritiers ; que tel est évidemment l'esprit du Code civil, et l'interprétation donnée par la jurisprudence aux divers textes des lois sur la matière ; qu'il en résulte que l'enfant ne peut retenir en même temps la quote disponible et la réserve; Attendu que le 
sieur François Calvet ayant laissé deux enfans, la quotité disponible était du tiers de la succession ; que le sieur Blancal, ayant renoncé, ne peut retenir les libéralités qui ont été faites , soit à Marie Calvet, sa mère , soit à lui-même , par ledit François Calvet, que jusqu'à concurrence de ce tiers , ainsi que l'ont décidé les premiers juges ; 
Attendu que l'art. 461, Cod. civ., porte que le tuteur ne peut répudier une succession échue au mineur sans l'autorisation du conseil de famille ; qu'il n'ajoute pas que cette délibération doit être homologuée par le tribunal ; que, cependant, toutes les fois que cette homologation est nécessaire, le législateur ne manque pas de l'exprimer ; qu'il n'appartient pas au juge d'imposer l'obligation de cette formalité, et d'appliquer une nullité qui n'est pas écrite dans la loi : — Attendu que le tuteur du mineur Blancal avait été autorisé par le conseil de famille à répudier la succession de François Calvet-, que celle répudiation est donc régulière , et qu'il n'appartient plus audit sieur Blancal de revenir contre ; —Attendu , d'ailleurs , que les motifs des premiers juges sont bien fondés, et que la Cour doit les adopter;—Par ces motifs, démet la partie de Bastié de son appel, etc. 
", 11 juin 1829. , 1re. Ch. 
21,16," — Considérant que L'art. 654, Cod. de comm., attribuant aux tribunaux de commerce la connaissance des actions des marchands contre leurs commis, on doit on induire que les actions des commis contre les marchands doivent, par réciprocité, être attribuées aux mêmes tribunaux ; — Confirme , etc. ", 24 août 1829. ,"C. r. Paris, "
22,17," — Quant au premier moyen de nullité que l'appelant entend faire résulter de ce que les nouveaux placards d'affiches , nécessités par le renvoi de l'adjudication définitive qu'avait ordonné le jugement du 20 décembre 1828 , eurent lieu , non pas quarante jours, mais quinze jours seulement avant cette même adjudication: — Attendu , d'abord, que l'appelant ne peut être réputé recevable à proposer un tel moyen de nullité ; car de premiers placards d'affiches qui annonçaient l'adjudication définitive des immeubles saisis, avant bien précédé de quarante jours celui fixé pour icelle , puis le renvoi de cette adjudication à six mois ayant été accordé sur la propre demande de l'appelant, par le jugement du 20 décembre 1828. qui ordonna en même temps que les nouvelles affiches seraient posées posées jours seulement avant celui qui était fixé pour ladite adjudication définitive , il est constant qu'à l'audience du 20 juin dernier, jour où elle dut être tranchée-, d'après le renvoi qui avait été ordonné, l'appelant se borna à demander un renvoi, un sursis nouveau, sans proposer aucun moyen de nullité quelconque, et qu'il acquiesça dès lors implicitement à la disposition du jugement du 20 décembre 1846, relative au temps déterminé pour l'affiche des nouveaux placards par lesquels l'adjudication définitive devait être précédée ; 
Attendu , d'ailleurs, que ledit moyen de nullité se trouve en luimême dénué de ton fondement ; qu'en effet, s' il est vrai que suivant l'art. 732 . Cod. proc, les nouvelles affiches ou appositions de placards qu'il prescrit pour tous les cas où une adjudication a été renvoyée, retaillée par des incidens quelconques, doivent, avoir la même forme que celle à suivre pour de premières affiches , ce même article ne dispose pas que le mémo délai qui concerne celles- ci. soit aussi applicable eux affiches nouvelles : c'est-à-dire qu'il faite que comme les premières , elles précèdent de quarante jours l'adjudication définitive; qu'ainsi l'article précité laisse pleinement à la prudence des juges le soin de fixer selon les circonstances qui l'espace de temps devra s'écouler depuis les nouvelles affiches jusqu'au jour où l'adjudication se trouve renvoyée; qu'au surplus, telle est bien, dans celte matière , la doctrine qu' a consacrée la Cour de cassation , par un arrêt du 22 février 1819; — Met l'appel au néant, etc. ", 29 août 1829., C. r. Lyon. 
24,18," — Considérant, que le billet dont il s'agit, quoiqu'il énonce avoir été souscrit le fi janvier 1825, n'étant fait que sous seing privé, n'a réellement de date certaine, à l'égard des tiers, que du jour qu'il a été enregistré; qu'il n'a reçu celle authenticité que le 4 novembre 1825 , époque bien postérieure à l'acte de donation entre-vifs consenti , au profit des appelans , dès le 27 juin précédent;— Attendu que, par ce dernier acte, Besnardière a bien imposé à ses donataires l'obligation.d'acquiller ses charges et ses dettes lors existantes, mais non pas celles qu'il lui plairait de contracter par la suite, dont il n'eût pas eu le droit de les grever sans leur consentement;— Que la créance de 5,000 fr. qui semble résulter du billet à ordre en question, ne se trouvant expressément portée au nombre des charges de la donation ni dans l'acte authentique du 27 juin , ni dans l'acte supplémentaire du même jour, les donataires ne pourraient être tenus de l'acquitter que dans le seul cas où il serait justifié que cette créance existait réellement au moment où ces actes ont été souscrits ; — Que non seulement cette justification n'a pas été faite , mais qu'il s'élève même des doutes sérieux, et sur la sincérité et sur la réalité de la cause exprimée au billet dont il s'agit..; — Met l'appellation et ce dont est appel au néant, émendant, etc. Du 20 février 1829. — C. r. Angers. 
PECHE -- DÉLIT. —ADMINISTRATION FORESTIERE. —ACTION. 
Est-il vrai que l'administration forestière ait qualité pour poursuivre les délits de pêche, aussi bien lorsqu'ils ont eu lieu dans un cours d'eau non navigable ni flottable, que lorsqu'ils ont été commis dans un cours d'eau navigable et flottable —Rés aff. (Loi du 14 floréal an 10, lit. 5, art. 15; Cod. inst., 182 et 202.) (L'administ. forest. — C. Fontan.)—ARRÊT. 
LA COUR ;—Attendu que, d'un côté, l'art. 182, Cod. instr. crim., autorise l'administration forestière à poursuivre les délits forestiers . en laissant toutefois le même droit au ministère public ; que cet article ne distinguo pas entre l'action civile et l'action publique ; que, par cela même , il les embrasse toutes deux; que le doute qu'il pourrait laisser sur ce point se dissipe , si l'on considère que la poursuite a lieu dans l'intérêt général, qui est l' objet de l'action publique , et si l'on arrête son attention sur l'art. 202 du même Code, qui, après avoir dit que la faculté d'appeler des jugemens correctionnels appartient à la partie civile, quant à ses intérêts civils seulement, ne répète pas cette restriction à l'égard de l'administration forestière; ce qui montre qu'il n'a pas voulu la lui imposer; que , d'un autre côté , l'art. 15, lit. 5 de la loi du 14 floréal an 10, veut que les délits de pèche soient poursuivis de la même manière que les délits forestiers, et que, pour ce qui concerne la conservation et la police de la pêche , les cours d'eau privés sont assimilés à ceux qui appartiennent au domaine public , par l'arrêt du conseil du 27 nov. 1773 ; qu' il suit de là que l'administration forestière a action centre les délits de la pêche, comme contre les délits forestiers, et que l'étendue de son action est la même, quels que soient les cours d'eau où ils ont été commis; qu'ainsi, s'agissant, dans l'espèce, d'une infraction a 
Lois et Décisions diverses. 19 
un règlement sur la police de la pêche, la fin de non-procéder que Fontan oppose à l'administration forestière , prise de ce que le fait qu'elle lui reproche ayant eu lieu dans une rivière qui n'est ni navigable ni flottable, elle est sans qualité pour en demander la répression , se trouve dénuée de fondement ; — Dit avoir été mal jugé , etc. 
", 21 août 1829.,C. r. Pau. 
25,19," — Attendu que la novation n'a lieu que si la nouvelle obligation se forme de l'extinction de la première ; sans cela la première obligation subsiste, et la seconde se trouve seulement ajoutée , suivant la loi dernière, Cod. de novationibus; ce qui était observé partout avant le nouveau Code : Serres , Institutes, pag 550 , cite pour exemple l'arrêt du parlement de Toulouse , rapporté par Catelan , liv. 5 , chap. 48, qui décida que si un créancier, ayant fait un bannîment (saisie-arrêt) entre les mains d'un tiers qui devait à son débiteur, et que ce tiers s'obligeât personnellement envers ce créancier, la première obligation et hypothèque que ce créancier avait sur son premier débiteur ne laissait pas de subsister, quoiqu'il ne l'eût pas réservée dans l'obligation qu'il avait encore stipulée de ce tiers ; — Attendu que ces principes ont été , de plus fort, consacrés par le Code civil, qui dispose , art. 1273 , que la novation ne se présume pas ; il faut que la volonté de l'opérer résulte clairement de l'acte , et par l'art. 127.5 , portant que la délégation par laquelle un débiteur donne au créancier un autre débitour, qui s'oblige envers le créancier, n'opère point de novation, si le créancier n' a expressément déclaré qu'il entendait décharger son débiteur qui a fait la délégation ; —Attendu que, ni d'une manière expresse, ni même d'une manière présomptive , il ne résulte du jugement et de l'arrêt confirmatif. qui condamnent François Digonet à délivrer à Veyrier les sommes saisies et arrêtées entre ses mains, comme appartenant à Joseph Digonet, son débiteur, que ledit Veyrier ait déchargé, ni entendu décharger Joseph Digonet, son premier débiteur; en sorte que François Digonet se trouve envers Veyrier, jusqu'à la susdite délivrance effectuée , un nouveau débiteur ajouté à Joseph , qui était le premier débiteur, et qui reste encore débiteur de Veyrier; — Attendu que les paiemens que François Digonet prétend avoir faits à Veyrier ne sont pas justifiés par lui, et, qu'ils sont au contraire déniés , et par Joseph Digonet, et par Veyrier lui-même ; d'où il résulte que François Digonet ne peut pas, en l'état, obtenir que Joseph Digonet lui rembourse les sommes dont François Digonet a été condamné à faire la délivrance à Veyrier : —Par ces motifs, a mis et met l'appellation et ce dont est appel au néant ; émendant, et par nouveau jugé , déclare n'être intervenu aucune novation en faveur de Joseph Digonet par le jugement qui a ordonné contre François Digonet la délivrance des deniers saisis et arrêtés en ses mains par Veyrier, comme créancier de Joseph ; a condamné et condamne l'appelant à rembourser à l'intimé la somme de 2,000 fr., à la charge par ce dernier de rapporter préalablement à l'appelant les quittances le Veyrier, opérant sa libération envers lui, etc. ", 2.4 avril 1829. , C. r. Nîmes. 
27,21," — Considérant qu'il dépendait des mineurs Cortet de se présenter à l'ordre ouvert sur le bien de Cremas, ou de ne pas le faire ; qu'ils ont donc pu , même après s'être présentés, se retirer et ne pas produire; que Dufraigne , qui n'a pas pris les moyens que lui offrait la loi pour purger les hypothèques dont était grevé le domaine de Moragne , n'avait aucun moyen de contraindre Cortet à se faire payer sur le bien de Cremas ; qu'en préférant d'exercer leurs droits sur Moragne, Cortet et ses enfans ne lui faisaient aucun tort, et ne pouvaient, par conséquent, encourir envers lui aucune responsabilité ; que la préférence donnée à l'exercice des droits des mineurs Cortet sur Moragne est toute naturelle, la créance des Cortet ayant pour cause la cession de leurs droits de copropriété sur le domaine, jouissant ainsi du privilège du prix de vente , notamment pour la conservation des intérêts ; Considérant que Faction de Dufraigne contre Michel Saelier et les enfans Saclier est prématurée, puisqu'il n'est dans aucun des cas prévus par l'art. 2178, Cod. civ.;—Confirme, etc. 
", 31 juillet 1829.,C. r. Bourges.
